Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,Price(INR) per unit(approx
100nf1,1,C,,,,Capacitor_SMD:C_0805_2012Metric,,5
"C1,C2",2,10uf,,,,Capacitor_SMD:C_0805_2012Metric,,5
"C3,C4,C5",3,100uf,,,,Capacitor_SMD:C_0805_2012Metric,,7
"D1,D2,D3",3,1N4007,,,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,http://www.vishay.com/docs/88503/1n4001.pdf,12
"D4,D5,D6",3,SK6805,,,,LED_SMD:LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,https://cdn-shop.adafruit.com/product-files/3484/3484_Datasheet.pdf,14
Driver1,1,100uf,,,,Custom:TMC2208,,270
"Driver2,UDriver1",2,,,,,Custom:TMC2208,,270
"endstop_x1,endstop_y1,endstop_z1",3,Conn_01x03_Socket,,,,Connector_JST:JST_XA_B03B-XASK-1_1x03_P2.50mm_Vertical,,10
"Fan1,Fan2,Fan3",3,Conn_01x02_Pin,,,,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,10
J1,1,Conn_01x01_Socket,,,,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,10
J2,1,Conn_01x02_Socket,,,,Connector_PinSocket_1.00mm:PinSocket_1x02_P1.00mm_Vertical,,10
"Q1,Q2,Q3",3,IRLZ44N,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.irf.com/product-info/datasheets/data/irlz44n.pdf,40
R1,1,4.7k ohm,,,,Resistor_SMD:R_0805_2012Metric,,5
R2,1,220 ohm,,,,Resistor_SMD:R_0805_2012Metric,,5
"R3,R4",2,220ohm,,,,Resistor_SMD:R_0805_2012Metric,,5
"R5,R6,R7",3,10k,,,,Resistor_SMD:R_0805_2012Metric,,5
Temp_sens1,1,Conn_01x02,,,,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,10
U1,1,AMS1117-3.3,,,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf,11
U2,1,ESP32-S3-DevKitC,,,,PCM_Espressif:ESP32-S3-DevKitC,,840
U3,1,MPU6050,,,,Connector_PinSocket_1.00mm:PinSocket_1x08_P1.00mm_Vertical,,150
XL103,1,Step down convertor,,,,,,80
